index	chromosome	region_start	region_end	peak_start	peak_end	enlarged_peak_start	enlarged_peak_end	n_genes_in_region	genes_in_region	n_genes_in_peak	genes_in_peak	n_genes_on_chip	genes_on_chip	top 3	amp	cytoband	q_value
11	7	20211523	20619143	20211523	20613366	708774	26478596	169	U3|ENSG00000202233.1,CYCS,snoU13|ENSG00000239098.1,RNA5SP228,snoU13|ENSG00000238849.1,SNORD65|ENSG00000212264.1,MALSU1,SNORD93,RNA5SP227,MIR1183,RN7SL542P,SP8,SNORD56|ENSG00000200753.1,MIR3146,RN7SKP266,SNORA63|ENSG00000199473.1,ISPD,RN7SKP228,SNORA64|ENSG00000199470.1,TMEM106B,U3|ENSG00000212422.1,RPA3,PMS2CL,GRID2IP,FLJ20306,RN7SL851P,SNORA42|ENSG00000207217.1,RN7SL556P,ZNF815P,MIR589,snoU13|ENSG00000238394.1,ZNF890P,RNF216P1,AP5Z1,snoU13|ENSG00000238781.1,RN7SKP130,snoU13|ENSG00000238857.1,MIR4648,GRIFIN,MIR4655,ELFN1,UNCX,MIR339,COX19,FAM20C,ACTB,AHR,DGKB,DFNA5,ETV1,GNA12,GPER,HNRNPA2B1,ICA1,IL6,ITGB8,LFNG,MEOX2,NUDT1,NDUFA4,NPY,PDGFA,PMS2,PRKAR1B,RAC1,FSCN1,SP4,TWIST1,ZNF12,AIMP2,MAFK,MAD1L1,EIF3B,DNAH11,CYTH3,NFE2L3,PHF14,HDAC9,RAPGEF5,ARL4A,GPNMB,AGR2,IGF2BP3,KDELR2,ADAP1,NUPL2,CBX3,SNX13,IQCE,SUN1,SOSTDC1,OSBPL3,WIPI2,INTS1,TSPAN13,EIF2AK1,BZW2,SNX8,SNX10,TRA2A,FTSJ2,NXPH1,GET4,CCZ1,MPP6,MIOS,RNF216,TOMM7,ZNF853,CYP2W1,HEATR2,ZDHHC4,CHST12,CDCA7L,RADIL,KLHL7,STK31,PAPOLB,C1GALT1,ANKMY2,RBAK,NPVF,C7orf26,MICALL2,FBXL18,TTYH3,USP42,PSMG3,C7orf50,CARD11,TNRC18,FAM126A,FAM220A,SCIN,ZFAND2A,CCDC126,GLCCI1,GPR146,C7orf31,AMZ1,AGR3,TMEM184A,VWDE,PRPS1L1,TWISTNB,BRAT1,SDK1,FOXK1,MMD2,DAGLB,CCZ1B,THSD7A,FERD3L,SLC29A4,RSPH10B,TMEM196,STEAP1B,COL28A1,ABCB5,FAM221A,MACC1,AGMO,MIR148A,OCM,RSPH10B2,ANKRD61,MIR3683,LRRC72,MIR4656,	3	SNORD56|ENSG00000200753.1,ITGB8,MACC1,	[Not Available]	[Not Available]	[Not Available]	1	7p21.1	0.17291
12	8	74113873	145232496	129171082	129171496	129157905	129194850	1	MIR1208,	0	[MIR1208]	[Not Available]	[Not Available]	[Not Available]	1	8q24.21	1.9782e-27
13	8	37222082	49758041	42099360	42103322	41487885	42340942	14	snoU13|ENSG00000238714.1,SNORD112|ENSG00000238966.1,RN7SL149P,MIR486,ANK1,IKBKB,PLAT,POLB,SLC20A2,VDAC3,KAT6A,AP3M2,DKK4,AGPAT6,	0	[snoU13|ENSG00000238714.1]	[Not Available]	[Not Available]	[Not Available]	1	8p11.21	3.8726e-07
14	10	5030267	5161216	5061336	5084596	5033303	5134416	4	U8|ENSG00000251740.1,U8|ENSG00000239148.1,AKR1C2,AKR1C3,	2	AKR1C2,AKR1C3,	[Not Available]	[Not Available]	[Not Available]	1	10p15.1	0.062869
15	11	66156831	72013256	69435627	69523549	68745899	69800156	10	FGF3,MIR3164,TPCN2,CCND1,FGF4,FGF19,MYEOV,MRGPRD,MRGPRF,ORAOV1,	3	CCND1,FGF19,ORAOV1,	[Not Available]	[Not Available]	[Not Available]	1	11q13.3	2.5841e-07
16	12	56977568	72641369	69228685	69237735	69212831	69243713	2	CPM,MDM2,	2	CPM,MDM2,	[Not Available]	[Not Available]	[Not Available]	1	12q15	4.4652e-18
17	12	19636740	39228779	25330451	25358606	25234646	25401534	4	KRAS,LRMP,CASC1,LYRM5,	3	KRAS,CASC1,LYRM5,	[Not Available]	[Not Available]	[Not Available]	1	12p12.1	1.8018e-12
18	12	56977568	72641369	58157988	58177292	58135796	58208164	9	CDK4,CYP27B1,METTL1,TSPAN31,TSFM,AVIL,METTL21B,MARCH9,AGAP2,	4	CYP27B1,METTL1,TSFM,METTL21B,	[Not Available]	[Not Available]	[Not Available]	1	12q14.1	1.5136e-15
19	13	106431828	111817665	108827032	108937452	88536291	114987458	161	MIR548AR,LINC00565,LINC00452,LINC00453,LINC00454,GRK1,DCUN1D2,LINC00403,LINC00404,SNORD44,LINC00354,LINC00346,LINC00567,snoU13|ENSG00000238629.1,RN7SL783P,RN7SKP10,LINC00676,RNA5SP39,MIR1267,SNORD31,LINC00443,LINC00551,ARGLU1,LINC00460,RNA5SP38,SNORA25|ENSG00000252550.1,LINC00344,LINC00343,METTL21EP,RNY5P8,LINC00283,CCDC168,snoU13|ENSG00000238869.1,LINC00555,MIR4705,RNY1P2,MIR2681,FGF14,LINC00411,GGACT,LINC00554,snoU13|ENSG00000238305.1,SNORA25|ENSG00000201245.1,MIR4306,RNY3P6,LINC00449,MIR623,RN7SKP9,RN7SL60P,RN7SKP8,snoU13|ENSG00000238407.1,RAP2A,RNA5SP37,snoU13|ENSG00000238522.1,SNORD112|ENSG00000252154.1,RN7SKP7,LINC00359,RN7SL164P,HS6ST3,snR65|ENSG00000251901.1,RNY4P27,RNY3P8,snoU13|ENSG00000238463.1,LINC00557,LINC00391,RN7SL585P,RNA5SP36,RNA5SP35,SNORD22,MIR548AS,RNU4ATAC3P,LINC00379,LINC00410,RNA5SP34,LINC00559,SNORD38|ENSG00000200733.1,LINC00353,LINC00440,LINC00560,LINC00433,ATP4B,COL4A1,COL4A2,DCT,GPR183,EFNB2,ERCC5,F7,F10,GPC5,GAS6,GPR18,ING1,IPO5,LAMP1,LIG4,PCCA,DNAJC3,SLC10A2,SLC15A1,SOX1,TFDP1,TPP2,ZIC2,STK24,CUL4A,IRS2,PROZ,ARHGEF7,CDC16,CLDN10,ITGBL1,TM9SF2,GPC6,MBNL2,FARP1,ABCC4,TUBGCP3,TNFSF13B,SOX21,RASA3,DZIP1,MYO16,ATP11A,MCF2L,DOCK9,TGDS,OXGR1,BIVM,TMCO3,ANKRD10,RAB20,CARKD,UGGT2,PCID2,UPF3A,KDELC1,CARS2,GRTP1,TMTC4,ABHD13,ZIC5,TEX30,ADPRHL1,TEX29,SPACA7,RNF113B,GPR180,CLYBL,METTL21C,NALCN,DAOA,CHAMP1,UBAC2,TMEM255B,C13orf35,MIR17HG,MIR622,FAM155A,MIR3170,MIR4502,	4	RNA5SP39,LIG4,TNFSF13B,ABHD13,	[Not Available]	[Not Available]	[Not Available]	1	13q33.3	0.027609
20	14	20501368	53702279	36946972	36962989	36893586	36992011	1	SFTA3,	1	SFTA3,	[Not Available]	[Not Available]	[Not Available]	1	14q13.3	5.2308e-67
21	16	31075708	31083324	31075708	31079920	29428539	31296315	91	PYDC1,ZNF668,MIR4519,MIR4519,BCL7C,SNORA30|ENSG00000206755.1,ZNF747,ZNF747,MIR4518,SNORA42|ENSG00000199787.1,SEPT1,snoU13|ENSG00000239114.1,GDPD3,PAGR1,RN7SKP127,QPRT,snoU13|ENSG00000239193.1,snoU13|ENSG00000238639.1,SNX29P2,ALDOA,CTF1,SEPT1,FUS,ITGAL,ITGAM,KIF22,MAZ,PHKG2,PPP4C,MAPK3,PRSS8,SPN,STX4,SULT1A3,TBX6,DOC2A,HIRIP3,TAOK2,ZNF646,SETD1A,RNF40,MVP,BCKDK,CD2BP2,CDIPT,SRCAP,CORO1A,SEPHS2,ZNF629,TBC1D10B,SEZ6L2,PYCARD,MYLPF,ZNF771,FBXL19,FBRS,PRR14,VKORC1,SLX1B,DCTPP1,ZNF768,ZNF668,HSD3B7,YPEL3,FAM57B,KAT8,C16orf93,ZNF764,ORAI3,PRRT2,STX1B,ZNF689,TMEM219,C16orf92,ZNF785,ZNF688,PRSS36,ZNF48,KCTD13,ASPHD1,C16orf54,INO80E,PRSS53,SULT1A4,TRIM72,SLX1A,BOLA2,ZG16,BOLA2B,MIR762,C16orf98,	1	ZNF668,	[Not Available]	[Not Available]	[Not Available]	1	16p11.2	0.20955
22	17	57891955	80917016	57930646	57947414	57922442	57955754	1	TUBD1,	1	TUBD1,	[Not Available]	[Not Available]	[Not Available]	1	17q23.1	6.4487e-07
23	17	36737020	38128765	37881553	37882955	37804858	37910000	8	MIR4728,PNMT,TCAP,ERBB2,GRB7,STARD3,MIEN1,PGAP3,	2	MIR4728,ERBB2,	[Not Available]	[Not Available]	[Not Available]	1	17q12	0.00014381
24	18	19446265	22758973	21537962	21570272	19445514	22758705	26	RN7SL247P,RNA5SP452,RN7SL745P,snoU13|ENSG00000238537.1,snoU13|ENSG00000238907.1,RNU6ATAC20P,RNA5SP451,GATA6,LAMA3,NPC1,RBBP8,RIOK3,ZNF521,CABYR,C18orf8,IMPACT,MIB1,HRH4,CTAGE1,TMEM241,CABLES1,OSBPL1A,TTC39C,ANKRD29,MIR320C2,MIR4741,	1	LAMA3,	[Not Available]	[Not Available]	[Not Available]	1	18q11.2	0.0060965
25	19	28240494	41310571	30567665	30576156	30029436	30607983	6	C19orf12,POP4,CCNE1,URI1,PLEKHF1,VSTM2B,	0	[URI1]	[Not Available]	[Not Available]	[Not Available]	1	19q12	1.517e-10
26	20	49700604	62219837	62215372	62219837	62159468	62219837	32	NPBWR2,MIR647,MIR1914,C20ORF135,SLC2A4RG,MYT1,OPRL1,PTK6,SRMS,TCEA2,TPD52L2,TNFRSF6B,ARFRP1,RGS19,PRPF6,GMEB2,STMN3,RTEL1,SOX18,LIME1,UCKL1,PCMTD2,ZNF512B,C20orf195,DNAJC5,ZGPAT,HELZ2,ZBTB46,SAMD10,ABHD16B,C20orf201,LINC00176,	28	NPBWR2,MIR647,MIR1914,C20ORF135,SLC2A4RG,MYT1,OPRL1,TCEA2,TPD52L2,TNFRSF6B,ARFRP1,RGS19,PRPF6,GMEB2,STMN3,RTEL1,SOX18,LIME1,UCKL1,PCMTD2,ZNF512B,DNAJC5,ZGPAT,ZBTB46,SAMD10,ABHD16B,C20orf201,LINC00176,	[Not Available]	[Not Available]	[Not Available]	1	20q13.33	8.1427e-15
27	20	22380786	22402552	22381663	22395998	21736539	30731323	71	RNA5SP482,RNA5SP481,XKR7,LINC00028,DEFB122,SNORA40|ENSG00000212134.1,RNA5SP480,NCOR1P1,FAM182B,RN7SL594P,RNU6ATAC17P,CST13P,RNA5SP479,RNA5SP478,LINC00261,BCL2L1,ENTPD6,CST1,CST2,CST3,CST4,CST5,FOXS1,HCK,FOXA2,ID1,PYGB,SSTR4,THBD,CST7,TM9SF4,GINS1,CST8,CD93,TPX2,NINL,ABHD12,ZNF337,REM1,NXT1,VSX1,APMAP,NAPB,GZF1,SYNDIG1,HM13,PDRG1,ACSS1,COX4I2,MYLK2,GGTLC1,DEFB118,CSTL1,CST9L,CST9,DUSP15,CCM2L,NANP,CST11,TTLL9,LINC00656,DEFB115,DEFB116,DEFB119,DEFB121,DEFB123,DEFB124,FAM182A,FRG1B,MIR663A,MIR3193,	0	[LINC00261]	[Not Available]	[Not Available]	[Not Available]	1	20p11.21	0.19771
28	22	22096802	23817240	22235327	22282776	22101292	23816388	32	ZDHHC8P1,CES5AP1,RN7SL263P,IGLC7,IGLJ7,IGLJ6,IGLJ5,IGLJ4,IGLC3,IGLJ3,IGLC2,IGLJ2,IGLC1,IGLJ1,GGTLC2,POM121L1P,snoU13|ENSG00000239066.1,PRAMEF24P,RNA5SP493,BCR,GNAZ,MAPK1,VPREB1,TOP3B,RAB36,PPM1F,PRAME,RTDR1,ZNF280A,ZNF280B,MIR650,IGLL5,	1	PPM1F,	[Not Available]	[Not Available]	[Not Available]	1	22q11.22	0.0044292
29	X	133065982	154905589	153690397	153765166	153689045	153767854	9	RN7SL742P,RN7SL697P,LAGE3,G6PD,UBL4A,SLC10A3,IKBKG,PLXNA3,FAM3A,	8	RN7SL742P,RN7SL697P,LAGE3,G6PD,UBL4A,SLC10A3,PLXNA3,FAM3A,	[Not Available]	[Not Available]	[Not Available]	1	Xq28	1.4252e-08
