Hugo_Symbol	Entrez_Gene_Id	TCGA-38-4628-11	TCGA-38-4629-11	TCGA-38-4630-11	TCGA-44-3918-11	TCGA-44-3919-11	TCGA-44-4112-11	TCGA-49-4486-11	TCGA-49-4494-11	TCGA-49-4501-11	TCGA-49-4505-11	TCGA-49-4506-11	TCGA-49-4507-11	TCGA-49-4510-11	TCGA-55-1592-11	TCGA-55-1594-11	TCGA-55-1595-11	TCGA-55-1596-11	TCGA-73-4659-11	TCGA-73-4662-11	TCGA-73-4666-11	TCGA-73-4668-11	TCGA-73-4670-11	TCGA-73-4675-11	TCGA-73-4677-11
OLFM2	93145	0.163115852	0.160281005	0.166164264	0.141628589	0.227845772	0.163153014	0.107653232	0.161087809	0.128473904	0.131778147	0.131296988	0.143687586	0.100931797	0.141952188	0.095691523	0.07548337	0.11142582	0.145914916	0.125148287	0.188113604	0.199054196	0.122454678	0.13076632	0.119068516
TUBB2A	7280	0.138103811	0.137040678	0.097610383	0.181837659	0.171972809	0.152184367	0.195388598	0.135012248	0.125538177	0.142892749	0.128846814	0.155087622	0.103765103	0.098634325	0.113767227	0.089421082	0.118052651	0.148372582	0.107742333	0.127658383	0.134042522	0.103559466	0.126252211	0.148160195
GORASP1	64689	0.044172634	0.045030504	0.04223364	0.040946801	0.044854515	0.043246795	0.052357641	0.037387316	0.03623869	0.031505798	0.041078035	0.042287149	0.03368409	0.039254909	0.03443874	0.023776084	0.03223839	0.036936849	0.031841889	0.036691653	0.043088231	0.037441157	0.024158288	0.040523608
IL23A	51561	0.197662382	0.161299022	0.200874611	0.220342096	0.172722452	0.166532392	0.221004483	0.198403074	0.195850547	0.214548936	0.206284652	0.193038661	0.22180142	0.220757673	0.223180004	0.206610796	0.251342626	0.195037099	0.133222398	0.202878241	0.213669022	0.233281747	0.258987671	0.188527551
NCRNA00173	100287569	0.098091852	0.141279635	0.099144644	0.10502646	0.134134937	0.109140287	0.104687954	0.099536525	0.158495661	0.079255366	0.092679412	0.098463762	0.082336893	0.121406204	0.103234226	0.083441252	0.124231063	0.142765922	0.088486081	0.113072732	0.099172608	0.113511228	0.060519862	0.101711782
BRDT	676	0.937809638	0.929208243	0.937344591	0.945951208	0.950384213	0.921753759	0.939504011	0.932064953	0.940289091	0.925755701	0.921744735	0.919792328	0.92753893	0.936783701	0.912099756	0.933707253	0.947925638	0.933577825	0.924259616	0.943391415	0.946893537	0.944154059	0.92287666	0.947436682
TSTA3	7264	0.669962825	0.670455333	0.644623457	0.599258031	0.662256736	0.616250426	0.725314094	0.70804167	0.659971167	0.634497607	0.57680116	0.619717817	0.634053632	0.604928018	0.639990274	0.594875403	0.634992674	0.644636678	0.722587348	0.651152958	0.63435683	0.603524087	0.626159132	0.637615259
C20orf177	63939	0.987300826	0.984714853	0.984121988	0.982982107	0.990423693	0.987462255	0.988013346	0.992003971	0.989356219	0.986384484	0.988316642	0.990199603	0.991880629	0.991454366	0.958958743	0.988571659	0.988121177	0.989909853	0.987698063	0.979163467	0.935497551	0.984699127	0.984363401	0.987316421
HHATL	57467	0.736649699	0.703754202	0.740259339	0.754480797	0.741677337	0.727837641	0.752711683	0.797462115	0.706796106	0.718838855	0.711887911	0.761298023	0.732211199	0.707465331	0.736016232	0.702842882	0.770969278	0.77703489	0.777869011	0.725305249	0.762381118	0.752845796	0.787013497	0.741182534
COMMD6	170622	0.013194532	0.015377251	0.013625085	0.017153403	0.02022645	0.01936516	0.016639463	0.011333921	0.012179645	0.012961132	0.012716735	0.014800378	0.010427307	0.018246042	0.017299773	0.017165554	0.016215017	0.014945605	0.011069016	0.013419905	0.015364461	0.017226792	0.011992677	0.015372356
STC1	6781	0.09299756	0.11153468	0.065013864	0.067120722	0.113013356	0.067925402	0.079248859	0.0791962	0.089236619	0.082459938	0.137268021	0.091284469	0.081510127	0.073794892	0.094743238	0.079968406	0.069317572	0.077346869	0.070157949	0.105320272	0.103748373	0.059976599	0.077243157	0.067001723
MT1A	4489	0.81543271	0.701751203	0.804411981	0.854182003	0.808201889	0.819972902	0.814551865	0.80844602	0.802816372	0.811426172	0.787373692	0.826806872	0.820889432	0.822950745	0.804509252	0.808233368	0.763068265	0.798313996	0.847799191	0.767597549	0.829523732	0.792507456	0.759056658	0.829162199
ZNF322B	387328	0.185646594	0.197786085	0.208285119	0.150111418	0.168934306	0.168167597	0.163125612	0.221990579	0.191403387	0.185371237	0.18108244	0.195434088	0.166965095	0.169461483	0.151253865	0.172721994	0.196201216	0.156177941	0.195920422	0.177160482	0.20500634	0.166544443	0.171839154	0.17453288
FRK	2444	0.757521497	0.835489423	0.779206284	0.748600409	0.715472999	0.795971904	0.766307341	0.812627833	0.715516093	0.785743024	0.683043568	0.800497718	0.75820284	0.787424355	0.717402292	0.712007515	0.736590235	0.758415484	0.771126187	0.823026742	0.816184341	0.765270801	0.863443784	0.800657061
SKA3	221150	0.015610031	0.01969779	0.017176001	0.020584628	0.021063926	0.019928301	0.018839589	0.014554793	0.018244826	0.01422287	0.018476733	0.015185092	0.014624244	0.021618059	0.015798676	0.013667832	0.015089486	0.013947224	0.01581724	0.017550548	0.015000919	0.014721554	0.012704006	0.022406989
ATF7IP2	80063	0.506548565	0.535229333	0.570191249	0.485795165	0.490091131	0.470688942	0.591178079	0.576889334	0.535879615	0.552442155	0.592591784	0.583694161	0.556620335	0.562813855	0.638201047	0.594568256	0.761809018	0.528620619	0.545382313	0.581713523	0.570555871	0.543158155	0.605882131	0.583763611
KLHL9	55958	0.023713259	0.022709559	0.022168743	0.028336626	0.021481164	0.018835097	0.027902583	0.018096583	0.019749743	0.020478479	0.020759733	0.019634233	0.01903646	0.030445437	0.028841784	0.025333803	0.025061307	0.018917419	0.020094404	0.022223426	0.02314192	0.023558078	0.019490423	0.017106761
PDE1C	5137	0.243387036	0.364641442	0.286640337	0.276617268	0.285630543	0.294879596	0.285109117	0.257163473	0.211820089	0.305442843	0.255943346	0.264610931	0.253593385	0.269817046	0.234363801	0.23969137	0.249558849	0.236019792	0.233510059	0.284373053	0.299064608	0.290641588	0.261355793	0.229880987
NR1H3	10062	0.488158785	0.542265074	0.545044441	0.534229088	0.586639689	0.597049177	0.560369607	0.590462051	0.592799764	0.568172356	0.561569781	0.52151796	0.544953525	0.573947108	0.659018111	0.611150707	0.652727216	0.590743124	0.48761928	0.479797696	0.526607064	0.493818135	0.51487035	0.542777716
AAAS	8086	0.03942218	0.026646535	0.03759357	0.029755673	0.032541234	0.029705337	0.033419948	0.021512925	0.025924517	0.032094846	0.034346372	0.028430593	0.027046009	0.028139258	0.025816116	0.028696532	0.027761938	0.029905356	0.025841721	0.031768138	0.038385491	0.035675919	0.030552889	0.027004423
FUT6	2528	0.835653043	0.746859444	0.848095167	0.893782582	0.845173957	0.781788085	0.847697902	0.803569263	0.887635516	0.819973507	0.814963441	0.86231809	0.840185713	0.815243732	0.826969532	0.767667638	0.82798367	0.869702256	0.802069183	0.843399959	0.843437988	0.798406871	0.831565034	0.822918706
LIMS1	3987	0.38366231	0.385826967	0.417174172	0.341567032	0.400432993	0.411214484	0.358370296	0.545014645	0.510450027	0.443547855	0.377899245	0.332781905	0.41905289	0.466222896	0.392837473	0.358108077	0.419823378	0.413926755	0.407695609	0.291723633	0.315580445	0.324354666	0.148300416	0.365174697
STYK1	55359	0.054272144	0.043818001	0.035511486	0.089348461	0.085680867	0.072751739	0.113362306	0.042435872	0.084563544	0.048252859	0.058773547	0.090956285	0.046308201	0.070895517	0.120465505	0.066680824	0.061602554	0.056656991	0.039294151	0.040644084	0.043512429	0.036348665	0.032537022	0.043696262
WNT7A	7476	0.026551552	0.024647959	0.034737339	0.029324066	0.05156894	0.080056983	0.019902872	0.020607467	0.025217811	0.017960179	0.030202449	0.022884417	0.016271615	0.036416414	0.02898905	0.023503407	0.022062668	0.020624935	0.029503512	0.028338673	0.034976159	0.022895174	0.021091043	0.026152742
DTX3L	151636	0.861065696	0.816480124	0.878078281	0.886193952	0.847606312	0.834161333	0.901324975	0.832268884	0.775008246	0.834520013	0.888321745	0.875042726	0.859449921	0.833592025	0.779737028	0.790938842	0.780665282	0.854271659	0.825305239	0.856463713	0.82303116	0.922429586	0.907108312	0.825565616
EEF1DP3	196549	0.253138562	0.303483727	0.273821154	0.345671552	0.403651117	0.358130029	0.213122592	0.434953454	0.433678528	0.384810098	0.240756403	0.322373264	0.315858284	0.275732235	0.223599039	0.333179902	0.246860498	0.357717948	0.325329336	0.192668451	0.290466042	0.29228678	0.150311824	0.462244408
SLC39A5	283375	0.900777881	0.886803103	0.877492611	0.909165033	0.896038254	0.88508841	0.90000839	0.890776735	0.901052785	0.871900931	0.852359545	0.891779904	0.874753301	0.881215404	0.864925428	0.837740384	0.894291404	0.885757102	0.905293837	0.89644717	0.882535318	0.890575501	0.898775045	0.905654939
DOPEY2	9980	0.287192111	0.296728976	0.272877782	0.234083457	0.289997518	0.290943556	0.268811692	0.261634127	0.111442139	0.243293299	0.229543806	0.241389768	0.155663514	0.258485646	0.162262339	0.159638988	0.15926716	0.216262673	0.203812507	0.207124643	0.215939711	0.192409093	0.201664953	0.217979223
FAM89A	375061	0.014881171	0.022977187	0.024390544	0.018360563	0.014957643	0.018565913	0.015179965	0.011820393	0.016888997	0.020371972	0.012707131	0.014845412	0.015594226	0.015906726	0.023821313	0.012392575	0.018201601	0.014343531	0.009939088	0.029157615	0.01397555	0.012641391	0.015779146	0.016302816
WFDC13	164237	0.812617898	0.793204281	0.791694077	0.844223416	0.773459175	0.707662494	0.795087705	0.790033787	0.811205049	0.80831615	0.777960137	0.824240953	0.8695303	0.788993781	0.8340012	0.833070208	0.841396516	0.884463213	0.840605944	0.864594863	0.807210646	0.832447652	0.897886078	0.82626637
ZNF624	57547	0.012968766	0.015421614	0.015597654	0.015442404	0.017980262	0.02138132	0.015441117	0.009794273	0.013497332	0.011965899	0.015039442	0.011455175	0.014720425	0.015750544	0.011325367	0.012586721	0.011184829	0.016041345	0.012564833	0.016263299	0.015271685	0.011950955	0.012653364	0.01534798
CXADR	1525	0.698598545	0.66824506	0.62130992	0.594733639	0.678019788	0.610176617	0.595210816	0.659218061	0.610513069	0.541347907	0.481659457	0.588417054	0.531147046	0.526910602	0.512055038	0.530812817	0.496331842	0.601365378	0.651580985	0.581704019	0.542715096	0.563046798	0.436589452	0.626786529
MYPN	84665	0.853453922	0.784759337	0.76922646	0.806389678	0.865612676	0.832674343	0.81465944	0.817961515	0.76498928	0.768619688	0.744707112	0.731868875	0.810426621	0.828518934	0.645379442	0.815295973	0.849314393	0.819403286	0.828474117	0.735416911	0.734655567	0.846405955	0.81026977	0.797299064
SLC25A1	6576	0.273391942	0.390113393	0.338783054	0.312351081	0.34765765	0.334732392	0.302754849	0.302282548	0.344701279	0.304199792	0.265557139	0.318134318	0.266050215	0.315113177	0.309626399	0.406653078	0.328034963	0.33477709	0.385135749	0.283729564	0.327630099	0.319715851	0.28488922	0.284367483
PVRL4	81607	0.679927216	0.684441717	0.683434287	0.616015286	0.728218034	0.705851039	0.683441043	0.704687436	0.667799716	0.611264664	0.580474363	0.699391373	0.596873943	0.578685809	0.578176951	0.555734722	0.605388793	0.654337279	0.724565407	0.626832394	0.60576319	0.599507539	0.54574468	0.694718079
C1orf26	54823	0.185121482	0.172530436	0.170542691	0.147611638	0.153250905	0.14200566	0.141867657	0.12959229	0.123364932	0.137307636	0.127185728	0.153984854	0.15647615	0.093213265	0.116083826	0.116037057	0.107070402	0.119165098	0.167515399	0.173208166	0.12449554	0.152889781	0.124887439	0.132093792
ZNF688	146542	0.049698202	0.051620185	0.066589419	0.065412267	0.08361867	0.073547647	0.051881829	0.055683341	0.068737844	0.067319561	0.060431378	0.057895718	0.059971094	0.048960547	0.038226402	0.053984379	0.050633586	0.057622917	0.060342293	0.053874843	0.064282978	0.05054029	0.061766224	0.092709202
WNT5A	7474	0.034648856	0.03695748	0.030193497	0.03521208	0.031116821	0.042760466	0.028300543	0.030554723	0.032926663	0.026007154	0.032202546	0.028214988	0.026636714	0.030881739	0.030539794	0.022409963	0.029865539	0.030899738	0.031965679	0.032662405	0.031538664	0.029132219	0.026310416	0.039680153
IL1A	3552	0.543614635	0.51433163	0.486125349	0.555272104	0.515751783	0.427361413	0.465971116	0.497386975	0.565989778	0.459589027	0.406597989	0.398580141	0.481132459	0.473659282	0.493373812	0.419053598	0.471966284	0.505282129	0.473487432	0.541304619	0.453534649	0.516625245	0.385486253	0.490604984
NEIL2	252969	0.023654003	0.022528238	0.023685702	0.031001642	0.024956306	0.018696412	0.027113864	0.022439394	0.031273194	0.022140332	0.024015182	0.021117727	0.022795892	0.022120568	0.032562642	0.026808427	0.038920666	0.025892153	0.020328511	0.021849594	0.024267909	0.024445611	0.020715507	0.025858071
WDR31	114987	0.03639942	0.036305511	0.033676121	0.045357835	0.03028526	0.037935005	0.040322271	0.031750197	0.037347734	0.034055033	0.043102544	0.042808743	0.030662212	0.026167167	0.034708666	0.037020313	0.03294022	0.039409632	0.032183479	0.036192301	0.043758351	0.038138669	0.031256825	0.040769409
C16orf73	254528	0.794858837	0.77952832	0.844092218	0.837882006	0.865960185	0.756982527	0.725573015	0.794188953	0.799490273	0.820693379	0.853740563	0.854914327	0.819486955	0.740422713	0.774601613	0.762082404	0.767483019	0.825448831	0.837399813	0.812116892	0.80365123	0.828073199	0.868579898	0.804670046
PCDHGB4	8641	0.167865857	0.203891451	0.157222315	0.111665116	0.158083689	0.192680018	0.154775004	0.148436516	0.072707699	0.144861742	0.11733809	0.13628241	0.064509396	0.190536975	0.057752599	0.0801177	0.096467259	0.099962365	0.099634639	0.108206082	0.126138954	0.092516963	0.151965919	0.132832054
PRPS1L1	221823	0.910082633	0.855586094	0.90139816	0.91701332	0.880261759	0.87323792	0.878238116	0.843792335	0.915209228	0.91531571	0.85114395	0.876879276	0.926176867	0.9003868	0.890836361	0.884086061	0.919705071	0.916225267	0.923358423	0.889973197	0.918087186	0.914107215	0.899726057	0.915479754
FBXO28	23219	0.031534809	0.027697088	0.022656021	0.018905022	0.042599127	0.023530084	0.020305834	0.018849701	0.023779854	0.01957243	0.026881423	0.018787531	0.019594286	0.019743483	0.03220863	0.023869889	0.02262868	0.019780025	0.01778864	0.023292091	0.023741028	0.020332878	0.021722139	0.020550035
SEC61G	23480	0.107641255	0.282524712	0.241383742	0.106116859	0.231817663	0.128402874	0.109796462	0.135175416	0.06574625	0.105103298	0.168399726	0.160629321	0.093120604	0.086449634	0.11737803	0.138210684	0.077920107	0.070468953	0.126479254	0.144346624	0.201883481	0.069035571	0.090467243	0.080100305
ORM2	5005	0.816709712	0.890682235	0.900367112	0.827547924	0.821467864	0.827719521	0.887976152	0.897195712	0.88091488	0.868257265	0.889381093	0.853386787	0.853300362	0.82012876	0.832714179	0.809055204	0.815200945	0.853433085	0.871728664	0.820049478	0.856297964	0.887877489	0.857992348	0.874129035
FCGR3B	2215	0.76293613	0.730358425	0.726408742	0.763907726	0.818412775	0.773074528	0.777243322	0.762363056	0.832224377	0.786395781	0.764592348	0.69212979	0.785820679	0.828015009	0.726085845	0.785927424	0.770429519	0.732996345	0.669825043	0.682519385	0.69125491	0.680198144	0.674282879	0.769498952
DOLPP1	57171	0.039444232	0.038125753	0.050070363	0.036892999	0.045491549	0.059748148	0.042210163	0.031150908	0.026715683	0.034728301	0.041697371	0.033698824	0.022606062	0.03230757	0.028812008	0.035830689	0.025756416	0.046725196	0.042855866	0.0378028	0.042322138	0.035255553	0.024723691	0.031334191
SOX15	6665	0.704475977	0.754185091	0.71622587	0.731669237	0.702293274	0.661747623	0.718431057	0.720672946	0.728184474	0.671657311	0.5988285	0.77241311	0.671273346	0.716230872	0.697435145	0.632057363	0.737226361	0.750144408	0.75568954	0.745561886	0.719124472	0.710499736	0.742966944	0.755694098
TMEM70	54968	0.028542031	0.029248354	0.026643153	0.037499569	0.040874855	0.039631364	0.031336937	0.028319948	0.028349864	0.02647487	0.031570209	0.032655152	0.034459892	0.036168013	0.035212888	0.033895889	0.028507743	0.027395037	0.027581481	0.030329471	0.031784277	0.033787955	0.027934352	0.033884079
CDH10	1008	0.613167337	0.668250026	0.501069242	0.599316166	0.517073284	0.616616315	0.504851156	0.509458033	0.540620483	0.513215116	0.32069804	0.597711331	0.53339012	0.39945878	0.392330448	0.41998594	0.596995391	0.423202547	0.610027996	0.618998293	0.516244417	0.546277432	0.523676095	0.548576675
MMP8	4317	0.941919653	0.950754674	0.941636248	0.952840018	0.946471003	0.950692734	0.937542079	0.960271189	0.950650737	0.943520431	0.941776634	0.944017859	0.954096737	0.940493594	0.947096544	0.948870188	0.959171391	0.95541756	0.956470039	0.938713601	0.946032987	0.958473056	0.953093906	0.943934109
IMPG2	50939	0.833460783	0.833698807	0.858718841	0.780871307	0.85920927	0.863634689	0.812978284	0.839857467	0.748644001	0.816436642	0.792719174	0.789593337	0.831723905	0.919864872	0.854242898	0.909959417	0.852576788	0.79843858	0.860259982	0.80288494	0.842726151	0.840586257	0.815034846	0.903232183
CPT2	1376	0.070033071	0.078927961	0.076073552	0.077691699	0.05899651	0.084561022	0.06108157	0.067024265	0.06040805	0.077299233	0.074780528	0.06770788	0.067507142	0.078942342	0.065878219	0.068279699	0.066688364	0.069520405	0.053561635	0.083719067	0.079793915	0.05462335	0.0562754	0.050625565
CYP46A1	10858	0.016430256	0.015054383	0.01777732	0.015869533	0.037246794	0.018984329	0.012429753	0.012713354	0.018695513	0.013080442	0.045440709	0.010226306	0.011827425	0.012720064	0.01587071	0.016841462	0.020431935	0.023986085	0.010006356	0.013668958	0.033980729	0.01345398	0.021297827	0.012008772
C9orf142	286257	0.436819418	0.484189396	0.506347661	0.473054175	0.424253027	0.412219501	0.47011206	0.454693458	0.402457562	0.48902552	0.441848834	0.478366456	0.418334668	0.447098402	0.447474652	0.397451855	0.38783353	0.486923646	0.40154788	0.511943329	0.417277858	0.517488903	0.39381931	0.396620581
SLC16A14	151473	0.16263213	0.23452143	0.190902749	0.216848331	0.213659622	0.238881627	0.164866541	0.203397901	0.169637009	0.206120846	0.128342812	0.204894943	0.115308424	0.192460044	0.122607595	0.101319017	0.169911979	0.163343442	0.134073292	0.140625213	0.205962957	0.186394173	0.169836508	0.162317732
ZFYVE9	9372	0.08009245	0.122746335	0.077540912	0.076347815	0.089202049	0.117659565	0.103434043	0.079013559	0.042610212	0.083895843	0.069745966	0.084776475	0.045666338	0.095757009	0.051599121	0.072417197	0.069715952	0.051681729	0.055354193	0.071534211	0.078201659	0.061110023	0.053676908	0.067670025
ZNF496	84838	0.012835845	0.01750637	0.016863074	0.01262611	0.016063944	0.016062588	0.015916609	0.013192609	0.017933059	0.019209238	0.014954402	0.014168505	0.013621555	0.01354248	0.015145477	0.014624211	0.014780578	0.016307908	0.013860881	0.016710224	0.015586019	0.012753461	0.013535028	0.019642272
SIGLEC7	27036	0.653010205	0.633333695	0.71083684	0.626072987	0.766864499	0.664195932	0.63421279	0.711796727	0.650116477	0.718281745	0.706856282	0.725231989	0.702922164	0.740741488	0.715915609	0.69118029	0.634757905	0.652187026	0.602392279	0.725195027	0.552092592	0.607925158	0.757543323	0.628654335
POLR2D	5433	0.295972741	0.345645625	0.317456063	0.372946892	0.470632772	0.348155285	0.466470915	0.292723855	0.363983576	0.400430875	0.410230065	0.331087231	0.367529323	0.300502736	0.353275743	0.345137046	0.330779139	0.348323991	0.359518422	0.362866801	0.337406045	0.381179409	0.34704127	0.251535478
SUB1	10923	0.086178828	0.069596168	0.053634353	0.080548208	0.083621294	0.05834991	0.083653507	0.066819603	0.076691947	0.056952213	0.076430908	0.063008496	0.053007073	0.0496741	0.071779212	0.058610007	0.063495705	0.063056721	0.05540792	0.061807827	0.063120864	0.062640029	0.055937405	0.064013718
POLG2	11232	0.294225974	0.267352302	0.235686053	0.214719832	0.238610699	0.199735233	0.294961972	0.27429226	0.304800304	0.22512435	0.191286255	0.213109872	0.268877997	0.174942266	0.231014588	0.260842235	0.244979468	0.335496314	0.265608754	0.204357372	0.200164367	0.266216298	0.174496586	0.328414474
DOK3	79930	0.760975635	0.718886796	0.709195137	0.763918457	0.785891235	0.74501871	0.736129832	0.737238889	0.807420424	0.779857198	0.748005918	0.685138938	0.793760123	0.726670085	0.753393812	0.751712495	0.78347518	0.761225577	0.721134519	0.699043297	0.678839888	0.768338575	0.698902374	0.776454123
ATIC	471	0.318371898	0.32168798	0.2467599	0.307543636	0.315204766	0.280554656	0.246122721	0.285426071	0.381959476	0.230761532	0.21168712	0.256233598	0.338924157	0.24408822	0.216189635	0.261948373	0.332933402	0.312791905	0.311088301	0.251250571	0.226260241	0.275427939	0.192611367	0.35776649
C21orf91	54149	0.047874756	0.052587864	0.062845426	0.064656547	0.061839535	0.050413559	0.04729626	0.055537329	0.07713152	0.061031206	0.077149609	0.069959686	0.058709135	0.041508	0.069043429	0.051069288	0.052977542	0.065812744	0.050132941	0.059133109	0.061794344	0.065008129	0.056594636	0.067010378
IGF1	3479	0.202218183	0.269890002	0.174861884	0.237433313	0.228786929	0.255430648	0.305805697	0.164304556	0.271555276	0.211440149	0.278860812	0.210673084	0.224624305	0.295176063	0.232164277	0.281303114	0.378479013	0.264060758	0.124186278	0.331003133	0.261087549	0.238005356	0.355895588	0.319778843
RSPH9	221421	0.513566192	0.630818409	0.480582957	0.540492713	0.471036027	0.572153006	0.586348344	0.458375038	0.500977892	0.453797696	0.424637415	0.476117783	0.419858516	0.552877193	0.4689455	0.532977359	0.564964076	0.513457786	0.513558226	0.547807553	0.585186059	0.563503336	0.532865028	0.494096673
DGKE	8526	0.017841706	0.033655219	0.023462688	0.045004211	0.040541305	0.023539218	0.022223484	0.012374483	0.023297718	0.030029054	0.036482441	0.016958634	0.018121306	0.070021121	0.066383542	0.027944407	0.017433485	0.018402045	0.012421687	0.055444553	0.038663363	0.027114909	0.040669818	0.015952847
