Hugo_Symbol	Entrez_Gene_Id	TCGA-05-4244-01	TCGA-05-4249-01	TCGA-05-4250-01	TCGA-35-3615-01	TCGA-35-4122-01	TCGA-35-4123-01	TCGA-44-2655-01	TCGA-44-2656-01	TCGA-44-2657-01	TCGA-44-2659-01	TCGA-44-2661-01	TCGA-44-2662-01	TCGA-44-2665-01	TCGA-44-2666-01	TCGA-44-2668-01	TCGA-44-3398-01	TCGA-44-3918-01	TCGA-44-3919-01	TCGA-44-4112-01	TCGA-55-1592-01	TCGA-55-1594-01	TCGA-55-1595-01	TCGA-55-1596-01	TCGA-64-1676-01	TCGA-64-1677-01	TCGA-64-1678-01	TCGA-64-1680-01	TCGA-67-3770-01	TCGA-67-3771-01	TCGA-67-3772-01	TCGA-67-3773-01	TCGA-67-3774-01
CADM4	199731	0.5801	-0.7331	-0.3354	0.3338	0.5158	0.1772	-0.3114	-0.3339	0.5273	-1.1026	1.7425	0.7387	-1.3169	0.2475	-1.4346	-0.5197	-0.6073	-0.7485	1.6725	1.2919	3.3626	-0.2868	-0.7920	-2.0418	0.3164	-1.6752	0.3933	0.2724	0.1561	0.6081	-1.2894	1.8919
RPS18	6222	0.0855	0.1105	1.9076	2.7664	0.5959	0.2977	-0.0481	0.2735	0.1459	0.7672	0.4310	-1.2567	-0.1984	0.6606	-1.5246	2.4870	1.4386	0.8643	-0.4713	-1.1549	-1.3263	-0.2914	-0.5025	0.6580	2.1686	1.1121	1.2537	0.3399	-1.1738	0.3268	1.8052	-0.7516
HNRNPD	3184	0.0909	0.6336	-0.7018	-0.7024	-0.4007	0.1846	-0.0917	1.1718	0.4335	0.4485	0.7753	1.5650	0.7668	0.9110	1.8496	-1.7222	-1.1315	-1.1870	0.5803	0.6989	0.5020	0.7534	-0.0747	-0.6289	0.0460	-0.4784	0.3865	-0.3155	0.2382	0.2582	-0.2985	0.9038
CFHR5	81494	0.2431	-1.0736	1.1617	-0.2845	1.3443	-0.4659	-0.1936	2.0441	-0.3699	-1.0150	-1.6090	-0.0695	-0.3422	-0.5046	0.9385	1.4674	0.3451	1.4206	-1.3802	-0.5729	0.1021	-0.6928	0.9960	-1.2459	-0.3374	-0.2992	-0.7346	-0.3948	-0.2450	-0.1399	-0.8196	-0.8022
SLC10A7	84068	1.3411	-1.8135	-0.9111	-0.6267	-0.9976	-0.0745	0.0792	0.3698	0.4917	0.0297	-0.4181	0.8801	1.5379	0.2367	0.2040	0.8438	-0.1022	-1.4824	0.3194	-0.3438	-0.7220	-0.4183	0.4638	1.2444	-0.5744	-0.8912	1.7292	-0.6597	-0.5984	0.7809	2.3175	0.0888
OR2K2	26248	NaN	0.1349	-0.4382	1.4459	-0.6021	-0.0453	-1.5576	-0.9943	0.7708	1.4964	-1.1182	0.2784	0.3094	0.4447	1.1997	-0.5393	0.6722	0.2865	0.1186	0.0868	-0.4456	0.2825	1.0652	0.8719	0.1015	0.4154	-2.3452	-0.3029	1.2714	2.6542	0.4879	-1.0677
LMAN1	3998	-0.4608	-0.4159	-0.0957	-1.2273	0.1775	-1.3152	0.5179	1.4105	0.7440	-0.7535	0.0980	2.0205	0.2204	0.7148	1.9667	-0.9042	-1.1170	0.1227	-0.0463	-0.1415	2.2597	-0.7795	1.4925	0.2214	0.8728	1.9250	1.3691	-1.7996	3.1698	-0.4111	-1.6357	1.4518
ZNF280A	129025	1.5974	-0.4136	1.6809	-0.1094	0.4437	1.2148	-1.6624	-0.7663	1.0016	-0.6839	0.1135	0.4974	0.7735	0.5478	-1.9049	1.2765	-0.1116	-0.5456	0.1871	0.3102	1.7560	0.3517	3.5346	0.2690	0.2207	0.1590	-0.7263	-0.1290	3.3828	-0.5785	0.2265	0.6245
CHD8	57680	0.1219	-0.0375	-2.7108	-0.6825	0.2554	0.2526	-0.0140	0.4812	-0.0207	0.5723	0.7787	-0.7276	-0.5183	-0.0856	1.0352	-0.9316	0.0578	-0.2345	1.7686	0.3244	-0.0095	0.8980	0.0955	-0.8007	1.8689	-0.9620	-1.3449	-0.6051	0.7886	-0.5104	-0.1950	-0.5973
SUMO1	7341	-1.0317	1.8247	0.8226	-0.6571	-1.1296	-0.1220	0.2924	-1.8562	0.1264	-1.5931	0.4049	-0.3648	-0.4559	-0.8643	0.3987	0.1904	0.6387	0.1386	-0.5630	-0.1530	1.1719	-1.2942	2.9825	2.6522	0.5758	1.9809	-0.2728	1.8128	1.0398	1.6213	0.2899	-0.4518
GP1BA	2811	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDB1	1642	0.8199	0.1089	-2.9578	-0.6739	-1.1348	0.2104	0.6795	0.2538	0.0280	-1.6743	0.4166	1.1985	-0.0635	0.9703	0.7093	0.7376	0.4171	-0.2606	1.5556	1.0513	2.1400	-0.2999	-2.0781	-1.4535	2.6566	-1.2642	-0.2793	-1.1874	0.7929	-1.0671	-0.2336	1.0005
MYO9B	4650	-0.4638	-0.0949	-1.2695	-1.1375	-0.0966	-0.2972	-0.6119	1.3772	1.1464	1.7877	0.6124	1.3009	0.3511	-0.1436	1.9514	-0.7590	-0.1678	-0.3417	0.8861	0.7109	-0.5016	0.4554	-0.8168	1.0833	-0.3540	-0.9697	-1.9871	-1.5919	0.5767	-0.7557	0.1493	-0.3954
MMP7	4316	0.1275	1.1399	1.8348	-1.0996	-0.7327	0.1214	-0.1953	-0.0034	-0.6936	-0.1345	0.1410	0.6220	-0.6716	-0.0286	-0.1354	2.2831	-1.2918	-0.2135	0.0202	-0.6441	-0.9890	-2.1266	-0.4917	-0.4302	-0.4622	-0.2632	-1.1558	-1.3013	0.0157	0.1933	0.5041	-0.7228
CRNKL1	51340	-0.7037	2.4966	-1.0595	-0.8251	-0.5506	-0.3651	-0.2880	-0.9763	-0.5971	-0.6813	1.3227	-0.3316	-0.7710	0.4885	0.5505	-1.4057	-1.0044	-0.0834	2.1072	1.5262	-1.3592	0.5296	0.7731	-0.1915	2.2624	1.4268	0.9986	-0.8254	0.1003	-0.4987	-2.1826	0.3564
MIR600HG	81571	2.4724	-0.4421	0.1090	0.5851	0.2044	0.9930	-0.5750	0.1961	1.6109	1.3798	0.2125	-1.2162	-0.1448	0.2227	-1.5266	-2.2511	0.1669	-0.6201	1.4715	1.0394	0.1224	2.3493	-0.5707	-1.3456	0.5382	1.2911	-0.5198	0.2613	0.5625	-1.8726	0.1728	0.8097
XAB2	56949	-2.9874	-0.0578	-0.2050	0.5332	-0.2367	0.5458	-0.1435	0.2081	0.5489	0.4655	-0.1775	0.0435	0.7580	0.9488	1.0937	0.3548	-0.9458	-0.2935	-0.1801	-0.0529	-0.0390	0.5722	-0.2917	-0.5594	0.0943	-0.8817	0.4827	-0.4120	-0.2105	-0.4089	0.9787	-0.2595
RTN1	6252	1.0418	0.6262	0.0798	-1.8480	0.4854	-2.3694	-0.1076	1.3648	-0.3629	0.3124	0.5796	2.3240	0.4106	-1.4522	2.0815	-0.2290	1.3358	0.5809	0.6943	0.4008	-0.2548	-1.1504	-1.2803	0.3771	-0.9242	-2.2861	-1.0205	-0.5638	0.3089	0.0516	-0.2351	-0.3240
KLHL14	57565	1.7387	-0.6238	1.0256	-0.3511	1.6746	0.8669	1.1100	1.1643	3.7608	0.1546	0.3084	-1.7539	-0.6441	-1.0575	-0.5399	0.0714	0.9997	0.2270	0.7580	-1.7000	4.2684	0.0870	-1.2746	0.1677	0.3330	0.1499	-0.7258	-0.5102	-1.0398	-0.7067	-0.9921	0.6130
TBX10	347853	-0.1558	0.6508	1.3474	0.7734	0.6852	1.2248	-0.8307	-0.8788	1.7634	-0.7505	-0.0962	-2.7911	-0.0779	-1.2019	-1.8974	0.8811	-0.5122	-0.5259	-0.8582	-1.0140	7.0329	-0.9441	-1.4758	0.4766	-0.8662	1.0301	-0.7047	-0.4446	-2.2423	0.0561	-0.8101	0.1547
CENPQ	55166	-0.3819	1.7049	1.7815	0.4681	-0.2872	0.1256	-0.5204	-0.4397	-0.0035	-1.2950	-1.3960	0.4056	0.7935	-0.1113	-2.0108	2.5597	1.3551	0.2594	-0.7979	0.6425	0.0314	-1.2570	2.0287	0.3833	1.9590	1.1891	0.2151	0.0839	-0.5313	0.8382	-0.8171	-1.0113
UTY	7404	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZBTB12	221527	1.0805	-1.7487	-0.2057	1.1016	0.2012	0.4316	-0.4277	1.1016	-0.1782	-0.2078	0.1166	1.4071	1.3130	0.1283	-0.6454	-2.9071	-1.6441	0.0522	-0.6559	1.1777	0.6894	0.3692	0.7550	1.1492	-0.5439	0.5256	-1.7477	0.6873	0.1631	-0.6612	0.0765	-0.4298
DTNBP1	84062	1.7105	-1.4398	-0.7810	0.0140	-0.0912	-0.7994	-0.1307	-0.2687	0.2940	2.4533	2.0846	-0.4975	-0.7551	-0.7796	-1.4515	-0.6869	-1.4113	-0.0886	0.9182	1.0213	1.0397	0.5442	-0.1187	-0.9235	1.4907	1.3381	-0.7695	-0.5167	-0.6757	-0.5239	0.5732	-0.5297
KBTBD8	84541	-0.5328	-0.0476	2.1184	-0.8665	1.8115	-0.9342	-0.2424	0.9323	1.6679	-0.3858	-0.1843	0.1234	-0.3380	-1.4444	-0.6034	0.7411	1.7855	0.8709	1.1006	-0.6966	0.3913	-0.5851	-1.0624	0.6618	-0.1768	-1.2429	-2.0239	-0.2467	-0.5395	0.3424	0.7592	-0.2058
ZEB1	6935	-1.4284	0.2047	-0.7089	0.1071	0.4085	0.3316	0.4776	0.4812	0.4325	1.8914	-0.5145	0.4766	1.9447	-0.4562	0.7940	-1.3347	-0.4632	0.2265	0.9312	-0.0298	-2.0968	0.5105	-1.4913	0.3321	-0.3048	-2.0448	-1.8400	-0.4824	-0.4814	1.7601	0.0139	-0.1590
MIER1	57708	-0.7444	-1.3187	1.2988	-0.4649	0.9748	-0.3578	0.5195	0.8395	-1.1383	0.5532	-0.4762	1.4282	-1.1097	-1.0567	-0.3686	0.8097	0.9499	0.2870	0.8344	-0.8693	-1.7865	0.3263	-0.6478	1.8723	-0.5464	-1.5197	-0.2593	-0.4366	-0.3728	-0.3134	2.5250	-0.3932
ADAM5	255926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHD9	80205	-1.5615	-0.4345	-1.7321	-0.2887	-0.1039	-0.4422	0.7278	0.4391	0.3761	2.1890	1.4407	0.7408	2.6243	0.7966	0.9198	-1.3860	-0.8199	0.5405	2.2076	-0.2373	5.9648	1.0110	-0.8759	1.4456	0.5287	-1.3781	-0.5547	0.4522	-0.9335	0.3786	0.4898	0.4566
STK16	8576	-2.0823	-0.2362	0.3156	1.7654	-0.2814	0.4528	0.3702	0.0202	-0.6259	-0.7619	-0.9994	-0.2509	-0.4417	0.5178	-0.2518	-0.2326	-0.2131	-0.2792	-0.8424	0.3854	0.0205	0.2434	-0.6244	1.1358	-0.5073	0.2333	1.3580	2.3547	1.1077	1.2105	1.2562	0.2037
NYAP2	57624	0.1704	-0.2089	-0.1168	-0.7409	-0.9242	-0.6524	-0.1277	0.7899	-0.4835	-0.9703	0.3952	0.5352	-1.2845	-1.0705	-0.7770	1.6768	-1.2340	0.5352	-0.1620	3.1723	-0.2243	-0.6117	-1.2710	-1.6801	-0.4745	1.8800	-1.5058	1.6614	-1.5266	0.8784	-1.6557	-0.9061
TOB2	10766	-3.0500	0.0743	-2.0472	-0.4529	-1.0161	-1.2242	1.1222	-1.5618	0.2691	-0.1684	1.3754	-2.8067	-1.1186	0.7744	-0.3163	-1.1944	-0.6630	-0.1404	-0.5664	0.5924	-1.3795	-0.2059	1.4720	-3.1038	-1.6790	-4.1379	-0.3012	0.1006	-0.7405	-0.8418	1.0569	0.6860
BANK1	55024	-0.5487	0.6885	-0.8596	1.2985	-0.2626	-1.6322	1.8819	1.0186	0.5725	0.0959	0.5835	-0.1040	-0.8421	-1.0008	0.1315	0.6732	0.3593	-0.4898	0.6725	-0.6511	-1.0732	-0.4842	-1.8603	-0.7674	1.2431	-2.2443	1.5729	-0.0989	-0.9711	0.0790	0.9904	-0.1992
OR2V2	285659	-4.5577	-0.0394	0.1976	1.0110	-0.2077	0.8210	-0.3579	-1.2047	0.2003	1.0091	1.4977	-0.7678	1.9130	-0.0069	-0.0485	-1.2301	-1.9647	-0.3507	0.1225	0.1505	-1.7992	0.9503	0.7287	0.5694	-0.4574	1.6777	0.8128	-0.0729	-0.9650	0.8291	-0.0557	1.5466
GRM2	2912	-0.6144	0.9950	0.7405	0.6569	-0.4577	-0.0750	-0.0842	-0.1968	-0.3249	-0.1963	-0.3746	0.4965	-0.5386	-0.5404	-0.2712	1.0157	0.3458	-0.7995	-1.5884	-0.3125	0.3683	-0.2147	0.1432	0.7171	0.2259	1.5248	2.6490	0.7423	0.4524	1.8349	-0.2124	-0.6098
PROSC	11212	-1.4620	1.1136	0.4892	-0.8389	0.7092	-0.1485	-0.1153	-0.7856	-0.3367	-0.1300	-0.3937	-1.0802	0.2504	0.8527	-1.4247	-2.3313	0.0276	0.7449	-0.4014	1.5022	1.4127	-2.0607	-1.3243	-1.2442	-1.0181	-2.6563	1.1343	-1.4003	-0.7486	-1.5319	0.9881	0.8552
SPIN2B	474343	-1.0492	0.2935	0.1264	0.7013	-0.6495	-0.4476	1.0278	-0.6245	-0.0811	0.8042	0.2901	0.0975	0.7383	0.7684	-1.0505	-0.5760	-0.9276	0.7157	-0.8817	-0.7180	0.9020	-1.8503	-0.9608	-0.6062	-0.5624	3.3064	0.0465	-0.6780	-1.4319	-0.4893	-0.6147	-0.0288
PIR	8544	-0.3288	-1.2822	-0.0639	2.1216	-1.5213	0.0454	2.5302	1.0721	0.2348	-0.0008	-0.8568	-0.4678	-0.4194	-0.6009	-1.5349	1.4531	-2.1370	0.1247	-0.4371	-0.2674	-0.1880	-0.5689	2.1374	0.2660	-0.6032	1.5223	-1.0698	0.9446	1.4433	0.6262	0.6238	0.0046
IPO9	55705	2.8039	2.3020	-0.3484	0.8972	0.0050	1.9862	2.2166	2.0783	-0.0289	0.3058	-0.5221	3.0152	1.9456	2.0740	2.8953	-1.0582	-0.9554	-0.2658	2.8741	0.3893	0.9468	4.0575	1.4963	-1.8476	0.1330	-1.7835	-0.6274	0.3355	2.9572	-0.8781	0.1642	2.4809
EVC	2121	-0.5527	1.0495	-1.7682	0.2424	-0.3341	0.4060	-0.0751	-1.0065	0.5950	-0.4722	1.0802	0.5842	1.0304	0.0683	1.9007	-1.3343	0.6304	-0.2158	0.7331	0.7267	0.2404	0.8654	0.7135	-0.4502	-1.7984	-1.3735	-0.8971	-0.3999	-0.9515	0.3360	-1.5394	0.7478
CXCL13	10563	-1.9404	0.2394	0.6917	-0.3003	0.8818	-2.7213	0.9982	0.7103	0.4885	-0.5363	-0.8160	-0.6980	0.1437	-2.1014	0.5266	1.1324	1.5043	0.0098	0.0143	-1.9903	0.2825	-0.5271	-0.0961	-0.3084	0.8895	-0.1896	-1.1597	-1.6616	0.3499	0.4012	-0.7313	-0.4896
CEMIP	57214	2.7513	0.0265	0.2595	-1.2485	1.0880	1.0649	-0.4032	-1.7753	-0.8403	0.4596	-0.7743	-0.0274	2.0353	0.8392	1.7823	0.4118	-0.5304	1.2759	0.4365	-1.3904	0.7904	4.1436	-0.2506	0.3388	-1.3216	-0.7265	-0.6828	-3.3186	0.5346	-0.9106	-1.1838	0.3231
SORL1	6653	-0.7360	0.2951	-1.8666	-1.1763	-1.1621	-0.7524	1.1919	0.3615	1.2688	0.8868	1.0878	-0.3182	-0.1964	-0.5169	-1.1041	-0.9231	0.0387	-0.0695	0.9892	3.3931	3.6927	1.9855	0.6659	-0.1781	1.8380	0.7071	-0.5105	0.4101	2.9911	0.6794	0.5386	1.6441
NAT10	55226	0.7481	0.2903	-0.9754	-0.1542	-0.9846	0.3192	1.4642	0.3093	-0.8216	-1.1849	-0.4004	0.4927	0.2571	1.5855	1.9016	-1.0064	0.0828	-1.8001	0.7128	0.5837	0.7806	0.2056	-1.6526	-0.2720	3.0621	-1.1644	0.1844	-0.7165	3.9679	-0.3341	-1.0057	0.8744
CHD1	1105	1.7041	0.9689	-1.8718	0.5455	-0.6479	0.5676	-0.9065	1.5398	-1.2562	0.0862	-0.0154	1.5861	1.3038	0.4533	0.9578	-1.4974	-0.7301	0.6434	0.7013	-0.7227	-0.7316	2.2655	-0.7933	0.5096	1.0200	-0.2845	0.9236	-1.1398	-0.5521	-1.7723	0.7603	0.8288
SYN3	8224	0.4795	0.6803	1.8538	-0.6685	1.0569	0.9262	-1.0040	0.1009	1.8916	-1.0698	-0.1905	-1.7285	-0.0127	0.3943	-0.6295	-0.9574	-1.2146	-0.0708	-0.6742	1.3815	0.0384	-0.0679	-1.4240	-1.0187	-1.1477	-0.8600	-1.2755	-1.7568	1.3933	-0.1239	-0.9192	-0.0521
SLC22A2	6582	1.0461	3.4634	1.0921	0.2384	0.2403	0.9100	-0.3853	0.4488	1.1299	0.4532	-0.0772	-0.0615	-0.3828	0.6926	-0.9758	1.5475	0.1112	-1.1446	0.0967	-0.0703	-1.0096	1.2036	-0.0041	-0.2505	-0.0167	0.0274	-0.4993	-1.2137	-0.3450	1.7038	0.1975	-0.5050
SERPINF1	5176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WDR34	89891	-0.7188	-0.4109	-1.5956	0.3970	-0.2742	0.1556	-0.8437	-0.2218	-1.1098	-1.1133	-1.1905	-0.6140	-0.7147	1.1160	-0.7901	1.0972	0.2139	-1.4837	2.4533	-0.6741	-0.3814	0.9205	0.5125	-1.8200	0.0479	-0.4709	-0.0269	-1.0545	-1.2482	-1.4313	-0.6058	-0.8784
OR7A17	26333	-2.5598	0.0728	0.3586	-0.0143	0.3443	0.3157	0.0384	0.6411	-0.1352	-0.7384	-0.0006	0.1381	0.4893	0.1381	1.3010	0.9206	0.3071	0.4978	-0.6141	0.3735	-0.1329	0.0963	0.7029	-0.1593	-1.7370	0.8794	1.3096	0.1071	-0.1449	1.3010	0.2865	0.5775
EQTN	54586	1.9506	0.0253	-2.4405	-0.4069	1.4743	1.3168	-1.2574	-0.4296	0.8997	1.1190	-0.1347	0.1878	0.2798	0.3516	0.8897	-0.9121	0.7359	-1.4564	-0.6702	0.3920	0.4222	1.0043	0.4398	-1.0369	1.5058	1.3861	-0.7332	0.8670	-0.8416	-0.5883	0.6742	-0.4674
RNF216P1	441191	-0.7147	2.0909	2.9237	1.4125	-0.1387	0.2214	0.7429	1.2147	1.8565	3.1738	0.7993	0.6061	-0.2793	-0.2240	-0.4555	1.0909	2.0084	0.5465	2.0826	-0.3424	-2.1855	1.7027	2.3958	0.3870	0.1693	-1.5108	0.1782	0.1648	0.5090	0.6352	0.0711	-0.5612
LHB	3972	-1.3104	-0.5959	1.1767	0.8858	0.7735	0.8671	0.1424	0.0829	1.4387	-0.8902	-1.2135	-0.8035	-0.6248	-0.5551	0.2853	1.2567	1.2295	0.6443	-1.8038	-1.4261	-0.4088	-0.7082	-0.4326	2.5020	-0.1009	1.7926	1.0338	0.4605	0.2411	1.5085	0.1985	0.2496
STK25	10494	-1.2434	0.6402	-2.5801	-0.3927	-1.4138	-0.7813	-0.1529	-0.3883	-0.0671	-0.8843	-0.9028	0.6737	0.2373	0.9032	1.7865	-0.0101	0.7858	-1.8775	-0.5787	0.6659	2.2853	0.3052	-1.7998	0.4946	0.1740	-1.2951	0.4201	1.1218	0.2191	-0.1591	-1.2146	0.4217
TAOK3	51347	-0.8293	0.1349	-1.2378	-3.5958	0.4353	-0.7622	-0.8770	1.0293	-0.7639	0.0309	1.5539	1.5283	1.0081	0.9482	1.4906	-2.2017	-0.6208	-0.0449	0.8175	-0.3059	0.1740	0.3863	-1.3171	-1.0071	-0.1773	-3.2293	1.0221	-0.0736	-0.7463	-0.2123	0.5680	0.1851
POMGNT2	84892	-1.9772	0.6086	-0.2722	0.4269	-1.4409	-0.5289	0.0034	-2.2059	0.4418	-0.7807	-0.6431	1.5713	0.4178	0.2670	-1.7686	-0.1915	-2.1186	0.5196	0.7632	1.2531	1.6729	0.3116	1.8844	-1.2881	0.4324	-1.6991	-1.4098	0.1425	0.8213	-0.0338	-0.9745	1.5556
AP5M1	55745	-3.0360	-0.6071	-0.1004	-0.6295	0.6083	-0.3444	0.9258	-0.3556	0.4617	-0.5632	0.3528	-0.1266	0.3558	0.3048	1.8022	-1.9667	0.3890	1.0788	0.3671	1.0860	1.2029	-0.8956	1.5565	-1.2056	-1.1226	1.0845	0.1530	1.2554	2.8528	-0.0162	0.4109	0.3429
CDC25B	994	1.8920	1.8089	-1.0957	-1.3786	1.2186	0.1577	-0.2955	0.8140	-0.0894	0.1568	-1.3221	-0.9493	-0.1157	0.8461	0.6636	-0.7393	0.0641	-0.5135	-1.1975	-0.5812	-0.4667	0.0381	-0.3582	0.4049	-0.4607	-0.5953	0.6667	0.4326	-0.0668	-1.6374	-1.4319	-0.0691
